Created Due : Wed Aug  3 11:32:43 2022

Time,actual_pos,actual_vel,actual_tor
1659493974838099501,0,0,-46,
1659493974840165255,0,0,-21,
1659493974842130594,-2,0,14,
1659493974844089303,-1,0,-21,
1659493974846122868,0,0,-11,
1659493974848063564,0,0,-26,
1659493974850118651,0,0,-31,
1659493974852045354,-1,0,-31,
1659493974854095359,0,0,-56,
1659493974856183502,1,0,-36,
1659493974858183415,0,-37,-31,
1659493974860199746,0,0,-1,
1659493974862099305,0,0,-6,
1659493974864042115,0,0,-26,
1659493974866113153,0,0,-26,
1659493974868098505,-1,0,-11,
1659493974870105014,-1,0,-6,
1659493974872185389,0,0,14,
1659493974874105159,-1,0,-26,
1659493974876125428,-2,0,9,
1659493974878058782,-1,0,-1,
1659493974880097133,-1,0,-36,
1659493974882151856,-1,0,19,
1659493974884170846,-1,0,-6,
1659493974886149921,-1,0,-16,
1659493974888219337,-1,0,-46,
1659493974890250293,-1,0,-26,
1659493974892163689,-2,0,-21,
1659493974894231984,-2,0,-6,
1659493974896288303,-1,0,-1,
1659493974898189439,0,0,-46,
1659493974900158767,-2,-37,-6,
1659493974902100124,-1,0,-16,
1659493974904082551,0,0,-1,
1659493974906160099,-1,0,4,
1659493974908107678,-1,0,-6,
1659493974910103448,-1,0,-6,
1659493974912059147,-1,0,14,
1659493974914043904,-1,0,4,
1659493974916196061,-1,0,-11,
1659493974918260645,-1,0,-16,
1659493974920255535,-2,0,9,
1659493974922204480,-2,0,-16,
1659493974924120429,-1,0,-6,
1659493974926183066,-2,0,-21,
1659493974928160658,-2,0,29,
1659493974930157425,-2,0,-11,
1659493974932166101,-2,0,-11,
1659493974934091317,-2,0,-11,
1659493974936083937,-2,0,49,
1659493974938109745,-2,0,4,
1659493974940101354,-2,0,-6,
1659493974942103370,-3,0,-6,
1659493974944076723,-3,0,-16,
1659493974946109133,-3,0,-11,
1659493974948165610,-3,0,19,
1659493974950150478,-2,0,-16,
1659493974952050009,-2,0,-6,
1659493974954194925,-2,0,-11,
1659493974956088504,-2,0,-1,
1659493974958201210,-1,37,-1,
1659493974960294952,-1,0,29,
1659493974962209602,-3,-37,4,
1659493974964083779,-3,0,-6,
1659493974966090296,-1,37,-16,
1659493974968110278,-1,0,-26,
1659493974970209658,-3,0,39,
1659493974972096551,-1,0,-21,
1659493974974131398,-1,0,19,
1659493974976159768,-1,0,-31,
1659493974978110056,0,0,-21,
1659493974980189268,-1,-37,-1,
1659493974982277710,-1,0,19,
1659493974984240602,-2,0,-6,
1659493974986213614,-1,0,-51,
1659493974988189719,-1,0,-16,
1659493974990168321,-1,0,-36,
1659493974992171251,-2,0,-6,
1659493974994101606,-2,0,-6,
1659493974996173986,-2,0,-6,
1659493974998172604,-2,0,29,
1659493975000157639,-1,0,19,
1659493975002088835,-2,0,-16,
1659493975004258014,-2,0,-26,
1659493975006240710,0,37,-11,
1659493975008227266,-1,-37,-1,
1659493975010257280,-1,0,-56,
