Created Due : Wed Aug  3 11:31:14 2022

Time,actual_pos,actual_vel,actual_tor
1659493876526285438,-5,0,0,
1659493876586287787,-5,0,0,
1659493876646311348,-5,0,0,
1659493876706278016,-5,0,0,
1659493876766253832,-5,0,0,
1659493876826329957,-5,0,0,
1659493876886297803,-5,0,0,
1659493876944415011,-5,0,0,
1659493877002452314,-5,0,0,
1659493877060293047,-5,0,0,
1659493877118299878,-5,0,0,
1659493877174356508,-5,0,0,
1659493877234301527,-5,0,0,
1659493877288340797,-5,0,0,
1659493877338378873,-5,0,0,
1659493877394401953,-5,0,0,
1659493877446301263,-5,0,0,
1659493877498335067,-5,0,0,
1659493877548376738,-5,0,0,
1659493877600354996,-5,0,0,
1659493877652325556,-5,0,0,
1659493877706359548,-5,0,0,
1659493877762295183,-5,0,0,
1659493877818304687,-5,0,0,
1659493877872323385,-5,0,0,
1659493877924314159,-5,0,0,
1659493877974334507,-5,0,0,
1659493878026300464,-5,0,0,
1659493878078367919,-5,0,0,
1659493882144820999,-5,0,0,
1659493882146953580,-5,0,0,
1659493882148796078,-5,0,0,
1659493882150822846,-5,0,0,
1659493882152777868,-5,0,0,
1659493882154896107,-5,0,0,
1659493882156891541,-5,0,0,
1659493882158884495,-5,0,0,
1659493882160793197,-5,0,0,
1659493882162904713,-5,0,0,
1659493882164868913,-5,0,0,
1659493882166829734,-5,0,0,
1659493882168899784,-5,0,0,
1659493882170878161,-5,0,0,
1659493882172871852,-5,0,0,
1659493882174877571,-5,0,0,
1659493882176873146,-5,0,0,
1659493882178885057,-5,0,9,
1659493882182888502,-4,37,-11,
1659493882184867052,-3,0,14,
1659493882186880685,-3,0,29,
1659493882188844949,-3,0,-26,
1659493882190885539,-3,0,44,
1659493882192908734,-3,0,-31,
1659493882194822097,-2,0,29,
1659493882196894706,-3,0,9,
1659493882198891689,-3,0,-11,
1659493882200788128,-2,0,-41,
1659493882202834478,-2,0,-36,
1659493882204842710,-2,0,-31,
1659493882206864388,-3,0,49,
1659493882208833587,-3,0,-11,
1659493882210818892,-2,0,-51,
1659493882212902911,-2,0,-1,
1659493882214868666,-3,0,4,
1659493882216781839,-3,0,-1,
1659493882218910113,-2,0,-1,
1659493882220808030,-3,0,-11,
1659493882222826394,-3,0,-1,
1659493882224814860,-2,0,-41,
1659493882226815758,-2,0,-31,
1659493882228873165,-3,0,-1,
1659493882230811428,-3,0,-6,
1659493882232824754,-2,0,-1,
1659493882234800867,-2,0,9,
1659493882236851192,-2,0,29,
1659493882238840749,-1,0,-16,
1659493882240818445,0,0,34,
1659493882242824703,-1,0,4,
1659493882244831954,-2,0,19,
1659493882246918818,-2,0,-21,
1659493882248901678,-1,0,-26,
1659493882250905255,-1,0,-1,
1659493882252856902,-2,0,-16,
1659493882254882712,-2,0,14,
1659493882256866556,-2,0,-36,
1659493882258896031,-2,0,34,
1659493882260861582,-2,0,-21,
1659493882262876908,-2,0,-11,
1659493882264890558,-1,37,34,
1659493882266837347,0,-37,19,
1659493882268827757,-2,0,-16,
1659493882270832526,-2,0,-11,
1659493882272872335,-2,0,19,
1659493882274899724,-2,0,34,
1659493882276893784,-2,0,-31,
1659493882278916597,-1,0,-16,
1659493882280871989,-1,-37,-21,
1659493882282895264,-2,0,24,
1659493882284888404,-2,0,59,
1659493882286895780,-2,0,4,
1659493882288840264,-3,0,-51,
1659493882290864072,-3,0,39,
1659493882292801768,-3,0,-61,
1659493882294763860,-3,0,-11,
1659493882296793650,-3,0,-26,
1659493882298802064,-3,0,-1,
1659493882300816687,-3,0,-16,
1659493882302793625,-2,0,-26,
1659493882304816780,-2,0,-11,
1659493882306818358,-2,0,-36,
1659493882308821697,-2,0,-31,
1659493882310883770,-2,0,4,
1659493882312824846,-2,-37,-6,
1659493882314876404,-3,0,-6,
1659493882316773558,-3,0,-1,
1659493882318804645,-3,37,-6,
1659493882320788174,-2,0,-21,
1659493882322800903,-2,0,-6,
1659493882324818713,-3,0,-31,
1659493882326798697,-3,0,4,
1659493882328798073,-3,0,-16,
1659493882330813740,-2,0,-6,
1659493882332802010,-4,0,59,
1659493882334824674,-4,0,-6,
1659493882336837183,-3,0,-31,
1659493882338797466,-2,0,24,
1659493882340971597,-2,0,-16,
1659493882342937276,-3,0,19,
1659493882344810309,-3,0,-11,
1659493882346898039,-3,0,-1,
1659493882348837349,-3,0,4,
1659493882350804800,-3,0,-1,
1659493882352840386,-3,0,14,
1659493882354830358,-3,0,-1,
1659493882356827463,-3,0,-11,
1659493882358914292,-2,0,-6,
1659493882360825496,-3,0,34,
1659493882362934453,-3,0,-11,
1659493882364963609,-2,0,4,
1659493882366826144,-2,0,-31,
1659493882368828226,-3,0,-31,
1659493882370822197,-2,0,4,
1659493882372891807,-2,0,-21,
1659493882374820264,-4,0,14,
1659493882376877448,-3,0,-16,
1659493882378884984,-2,0,-1,
1659493882380859598,-3,0,-41,
1659493882382879725,-3,0,-16,
1659493882384797374,-4,0,-11,
1659493882386812108,-3,0,-1,
1659493882388808144,-3,0,-31,
1659493882390944882,-3,0,-6,
1659493882392888548,-3,0,-6,
1659493882394792727,-3,0,14,
1659493882396786314,-3,0,-21,
1659493882398779495,-3,0,-41,
1659493882400807647,-3,0,-1,
1659493882402815147,-3,0,-6,
1659493882404806245,-3,37,-26,
1659493882406805977,-2,0,-11,
1659493882408830313,-2,0,4,
1659493882410805022,-2,0,-1,
1659493882412811707,-2,0,-11,
1659493882414813385,-2,0,-1,
1659493882416825951,-2,0,-21,
1659493882418821166,-3,0,-1,
1659493882420780446,-3,0,4,
1659493882422829457,-2,0,14,
1659493882424780265,-3,0,4,
1659493882426797971,-3,0,-26,
1659493882428796190,-3,0,-11,
1659493882430789110,-2,0,-1,
1659493882432838927,-3,0,-26,
1659493882434803511,-3,0,-6,
1659493882436804268,-3,0,4,
1659493882438820964,-3,0,-16,
1659493882440823735,-3,0,-21,
1659493882442813344,-3,0,-21,
1659493882444792777,-3,0,-21,
1659493882446822435,-3,0,-21,
1659493882448888566,-3,0,-6,
1659493882450843519,-3,0,-31,
1659493882452885256,-3,-37,-11,
1659493882454866500,-4,0,9,
1659493882456905253,-2,0,-11,
1659493882458889073,-2,0,14,
1659493882460826306,-2,0,-26,
1659493882462900305,-3,0,-36,
1659493882464905265,-2,0,-41,
1659493882466786770,-2,0,-56,
1659493882468838370,-2,0,-6,
1659493882470800134,-1,0,-11,
1659493882472824504,-1,0,14,
1659493882474884259,-1,0,-6,
1659493882476876079,-2,0,-6,
1659493882478893442,-2,0,-1,
1659493882480881849,-2,0,-6,
1659493882482810323,-2,0,9,
1659493882484810022,-2,0,19,
1659493882486816733,-3,0,14,
1659493882488876668,-4,0,14,
1659493882490923027,-3,0,-36,
1659493882492918059,-3,37,14,
1659493882494807599,-2,0,-16,
1659493882496826086,-2,0,-11,
1659493882498829422,-3,0,24,
1659493882500987527,-3,0,44,
1659493882502827650,-3,37,19,
1659493882504811813,-2,0,9,
1659493882506819123,-2,0,-21,
1659493882508828760,-2,-37,29,
1659493882510785814,-3,-37,-1,
1659493882512829933,-4,0,-1,
1659493882514863220,-4,37,-16,
1659493882516879534,-3,37,-21,
1659493882518840418,-3,0,14,
1659493882520892002,-4,0,-26,
1659493882522876135,-3,0,-36,
1659493882524870941,-3,0,-11,
1659493882526866983,-3,0,4,
1659493882528868912,-3,0,-31,
1659493882530895579,-2,0,-16,
1659493882532786222,-2,0,4,
1659493882534799239,-3,0,-1,
1659493882536905191,-3,0,19,
1659493882538895827,-3,0,4,
1659493882540893170,-3,0,9,
1659493882542906930,-3,0,-16,
1659493882544830004,-3,0,-6,
1659493882546916101,-2,0,-46,
1659493882548906612,-2,-37,-16,
1659493882550921795,-3,0,-11,
1659493882552879070,-3,0,19,
1659493882554872472,-3,0,-16,
1659493882556810880,-3,0,39,
1659493882558906591,-3,0,29,
1659493882560876078,-3,0,-41,
1659493882562865063,-3,0,-11,
1659493882564887192,-3,0,-26,
1659493882566883589,-2,0,-6,
1659493882568895317,-3,-37,-11,
1659493882570885506,-3,0,-1,
