Created Due : Wed Aug  3 11:30:34 2022

Time,actual_pos,actual_vel,actual_tor
1659493836532650477,-1,0,-16,
1659493836534537155,-1,0,-41,
1659493836536561702,-1,0,9,
1659493836538516448,-1,0,9,
1659493836540600863,-1,0,4,
1659493836542604669,-1,0,-21,
1659493836544569150,-1,0,-6,
1659493836546542487,-2,0,19,
1659493836548529719,-1,37,9,
1659493836550589940,0,0,-1,
1659493836552526185,-2,0,14,
1659493836554516533,-3,0,19,
1659493836556536726,-2,0,9,
1659493836558591202,-1,0,39,
1659493836560715206,-1,0,-11,
1659493836562601263,-1,0,-1,
1659493836564653065,-2,-37,9,
1659493836566646375,-2,0,19,
1659493836568679830,0,0,-1,
1659493836570597616,0,0,39,
1659493836572543648,-1,0,4,
1659493836574492443,-1,0,24,
1659493836576518393,-2,0,-16,
1659493836578484028,-2,0,9,
1659493836580539298,-2,0,14,
1659493836584229759,-2,0,14,
1659493836584499675,-2,0,-6,
1659493836586533352,-2,0,44,
1659493836588506393,-2,0,-26,
1659493836590674353,-2,0,14,
1659493836592528655,-1,0,-21,
1659493836594611929,-1,0,-36,
1659493836596629467,-1,0,4,
1659493836598620776,-2,0,24,
1659493836600610211,-2,0,24,
1659493836602533304,-1,0,-16,
1659493836605068209,-2,-37,-21,
1659493836606538427,-2,0,-1,
1659493836608537923,-1,0,-31,
1659493836610547382,-1,0,-21,
1659493836612535572,-2,0,24,
1659493836614537801,-2,0,9,
1659493836616530799,-2,0,-16,
1659493836618540119,-2,0,-1,
1659493836620528059,-1,0,4,
1659493836622587763,-1,0,-6,
1659493836624550438,0,0,44,
1659493836626542295,0,0,-26,
1659493836628484569,-1,0,4,
1659493836630600576,0,0,-31,
1659493836632620624,-1,0,-1,
1659493836634557250,-2,0,-16,
1659493836636734970,-1,0,-21,
1659493836638508384,0,0,-1,
1659493836640600219,-1,0,-1,
1659493836642590241,-1,0,39,
1659493836644602454,-1,0,-26,
1659493836646606495,-1,0,-1,
1659493836648537599,-1,0,-1,
1659493836650670854,-2,-37,-11,
1659493836652596296,-3,0,-31,
1659493836654531655,-2,0,24,
1659493836656503880,-1,0,4,
1659493836658602181,-2,-37,19,
1659493836660615858,-2,0,-31,
1659493836662603641,-2,0,19,
1659493836664617279,-1,37,24,
1659493836666589474,-1,0,44,
1659493836668553131,-2,0,24,
1659493836670611465,-2,0,34,
1659493836672606114,-1,0,-26,
1659493836674613057,-1,0,-41,
1659493836676601919,-2,0,-16,
1659493836678555053,-1,37,24,
1659493836680584505,-1,0,-26,
1659493836684311760,-2,0,49,
1659493836684480920,-2,0,-16,
1659493836686616228,0,37,9,
1659493836688516639,0,0,24,
1659493836690534133,-1,0,39,
1659493836692537660,-1,0,-6,
1659493836694542582,-1,0,9,
1659493836696499002,-2,-37,-6,
1659493836698557175,-2,0,-6,
1659493836700549053,-1,0,-1,
1659493836702557228,-1,0,-16,
1659493836704532915,-1,0,-1,
1659493836706639967,-1,0,-21,
1659493836708662884,-1,0,-6,
1659493836710630057,-1,0,-6,
1659493836712663749,-1,0,-1,
1659493836714668956,0,0,-1,
1659493836716705877,-1,0,49,
1659493836718665461,-2,0,9,
1659493836720586297,-1,0,-41,
1659493836722590023,-2,0,14,
1659493836724591323,-3,0,4,
1659493836726979847,-1,0,-41,
1659493836728606918,-2,-37,-36,
1659493836730596130,-2,0,-26,
1659493836732594743,-1,0,4,
1659493836734502382,-1,0,-21,
1659493836736573444,-1,0,24,
1659493836738481880,-2,0,24,
1659493836740518156,-1,0,-51,
1659493836742593919,-1,0,-36,
1659493836744604865,-2,0,4,
1659493836746521203,-2,0,-6,
1659493836748534294,-2,0,44,
1659493836750599255,-2,0,-16,
1659493836752606708,-1,0,39,
1659493836754564793,-1,0,-16,
1659493836756795010,-2,0,-11,
1659493836758606665,-2,0,-26,
1659493836760594549,-1,0,4,
1659493836762589882,-1,0,19,
1659493836764620172,-1,0,24,
1659493836766544368,-1,0,-16,
1659493836768538872,-2,0,29,
1659493836770605618,-1,0,-11,
1659493836772610535,-1,0,-11,
1659493836774548743,-1,0,-11,
1659493836776604002,-1,0,4,
1659493836778490949,-1,0,-31,
1659493836780679422,-2,0,-26,
1659493836784383840,-2,0,-31,
1659493836784540276,0,0,-31,
1659493836786595785,0,0,4,
1659493836788579837,-1,-37,-11,
1659493836790595058,-1,0,-21,
1659493836792583810,0,37,-16,
1659493836794574176,1,0,-21,
1659493836796563129,1,0,-1,
1659493836798518210,1,0,9,
1659493836800674979,1,0,-21,
1659493836802577524,1,0,9,
1659493836804658937,-1,-37,-6,
1659493836806660017,-1,0,-6,
1659493836808658782,-1,0,-26,
1659493836810599369,0,0,-6,
1659493836812694866,0,0,-1,
1659493836814573708,-1,0,19,
1659493836816659113,-1,0,9,
1659493836818606546,-1,0,-1,
1659493836820677132,0,0,9,
1659493836822587960,0,0,9,
1659493836824595450,-1,0,-11,
1659493836826582653,0,0,14,
1659493836828487981,0,0,-11,
1659493836830615952,-1,0,4,
1659493836832542017,-1,0,-16,
1659493836834529848,0,37,-1,
1659493836836607418,0,0,-21,
1659493836838516195,0,0,24,
1659493836840608226,-1,0,-16,
1659493836842648274,-1,0,9,
1659493836844648576,-1,0,19,
1659493836846660804,-1,0,-31,
1659493836848507996,0,0,-16,
