Created Due : Wed Aug  3 11:32:15 2022

Time,actual_pos,actual_vel,actual_tor
1659493935325254461,-4,0,0,
1659493935375382377,-4,0,0,
1659493935425260671,-4,0,0,
1659493935475392921,-4,0,0,
1659493935525334496,-4,0,0,
1659493935575210517,-4,0,0,
1659493935625357234,-4,0,0,
1659493935675382740,-4,0,0,
1659493935725331317,-4,0,0,
1659493935775398742,-4,0,0,
1659493935825301258,-4,0,0,
1659493935875227482,-4,0,0,
1659493935925341461,-4,0,0,
1659493935975242143,-4,0,0,
1659493936025212690,-4,0,0,
1659493936075304715,-4,0,0,
1659493936125337618,-4,0,0,
1659493936175273638,-4,0,0,
1659493936225407533,-4,0,0,
1659493936275225578,-4,0,0,
1659493936325360028,-4,0,0,
1659493936375377504,-4,0,0,
1659493936425211774,-4,0,0,
1659493936475284619,-4,0,0,
1659493936525327807,-4,0,0,
1659493936575266804,-4,0,0,
1659493936625345813,-4,0,0,
1659493936675349416,-4,0,0,
1659493936725344642,-4,0,0,
1659493936775337550,-4,0,0,
1659493936825277520,-4,0,0,
1659493936875273897,-4,0,0,
1659493936925269675,-4,0,0,
1659493936975272165,-4,0,0,
1659493937025275990,-4,0,0,
1659493937075338570,-4,0,0,
1659493937125272788,-4,0,0,
1659493937175255061,-4,0,0,
1659493937225346681,-4,0,0,
1659493937275324135,-4,0,0,
1659493937325292614,-4,0,0,
1659493937381250021,-4,0,0,
1659493937437278504,-4,0,0,
1659493937487255932,-4,0,0,
1659493937539232275,-4,0,0,
1659493937591248260,-4,0,0,
1659493937647377485,-4,0,0,
1659493937703349640,-4,0,0,
1659493937761271615,-4,0,0,
1659493937819376090,-4,0,0,
1659493937879368653,-4,0,0,
1659493937937252376,-4,0,0,
1659493937997255162,-4,0,0,
1659493938057221973,-4,0,0,
1659493938117234294,-4,0,0,
1659493938175242074,-4,0,0,
1659493938233326057,-4,0,0,
1659493938293283755,-4,0,0,
1659493938349330773,-4,0,0,
1659493938409344306,-4,0,0,
1659493938467235588,-4,0,0,
1659493938527298173,-4,0,0,
1659493938587196166,-4,0,0,
1659493938643267624,-4,0,0,
1659493938703357594,-4,0,0,
1659493938759317973,-4,0,0,
1659493938819208122,-4,0,0,
1659493938879381364,-4,0,0,
1659493938939357536,-4,0,0,
1659493938999337458,-4,0,0,
1659493939059275574,-4,0,0,
1659493939119288210,-4,0,0,
1659493939179379579,-4,0,0,
1659493939239255438,-4,0,0,
1659493939299381455,-4,0,0,
1659493939359303757,-4,0,0,
1659493939419317134,-4,0,0,
1659493939479357237,-4,0,0,
1659493939539212792,-4,0,0,
1659493939599267866,-4,0,0,
1659493939659286039,-4,0,0,
1659493939719243465,-4,0,0,
1659493939779221538,-4,0,0,
1659493939839363438,-4,0,0,
1659493939899414651,-4,0,0,
1659493939959372389,-4,0,0,
1659493940019273170,-4,0,0,
1659493940079465876,-4,0,0,
1659493940079718890,-4,0,0,
1659493944150088756,-4,0,0,
1659493944152142217,-4,0,0,
1659493944154115449,-4,0,0,
1659493944156012263,-4,0,0,
1659493944158202264,-4,0,0,
1659493944159995447,-4,0,0,
1659493944161960512,-4,0,0,
1659493944164053272,-4,0,0,
1659493944166011298,-4,0,0,
1659493944168078868,-4,0,0,
1659493944170002859,-4,0,0,
1659493944171999945,-4,0,0,
1659493944174019809,-4,0,0,
1659493944175991803,-4,0,0,
1659493944178079752,-4,0,0,
1659493944180039578,-4,0,0,
1659493944182039056,-4,0,0,
1659493944183995222,-4,0,29,
1659493944188013997,-4,37,14,
1659493944190045746,-1,0,-6,
1659493944192043905,-1,0,-6,
1659493944194069497,-2,0,-11,
1659493944196140017,-2,0,24,
1659493944198019302,-3,0,24,
1659493944199999536,-3,37,-101,
1659493944202099194,-1,0,-11,
1659493944203991236,-1,-37,-26,
1659493944206684955,-2,0,-11,
1659493944208016382,-2,0,-6,
1659493944210111321,-2,0,-16,
1659493944211970635,-2,0,19,
1659493944213992205,-3,0,9,
1659493944216045986,-3,0,39,
1659493944218157154,-2,0,-1,
1659493944219969050,-2,0,24,
1659493944221986210,-2,0,-11,
1659493944224079890,-2,0,-6,
1659493944226020238,-2,0,14,
1659493944227996692,-1,0,-11,
1659493944230065304,0,0,-16,
1659493944232119455,-1,0,24,
1659493944234049927,-1,0,-16,
1659493944236149182,-1,0,-11,
1659493944238018165,0,0,-6,
1659493944240042574,-1,0,-1,
1659493944242073417,-1,0,-21,
1659493944244022078,-1,0,34,
1659493944246172331,-1,0,-16,
1659493944248164575,-1,0,24,
1659493944249960337,-2,0,-16,
1659493944252091074,-2,0,-21,
1659493944254141719,-1,0,39,
1659493944256118559,-2,0,19,
1659493944258050832,-1,37,-1,
1659493944260041057,0,0,-1,
1659493944261987176,-1,-37,4,
1659493944263968365,-2,0,-6,
1659493944266017961,-1,0,-56,
1659493944268035197,-2,0,-1,
1659493944270065285,-2,0,-11,
1659493944272148289,-1,0,-41,
1659493944274078138,-1,0,-16,
1659493944276053070,-2,0,-21,
1659493944277990884,-2,0,-6,
1659493944279973325,-2,0,-16,
1659493944282086609,-1,0,-21,
1659493944284159461,-1,0,-1,
1659493944286087272,-1,0,-26,
1659493944287952145,-2,0,-6,
1659493944290015380,-2,0,-1,
1659493944292086006,-2,0,-11,
1659493944294037186,-3,0,4,
1659493944295972314,-3,0,14,
1659493944298006770,-3,37,-46,
1659493944300004476,-2,0,-41,
1659493944302134302,-2,0,9,
1659493944304016731,-2,0,-36,
1659493944306120672,-2,-37,4,
1659493944308036626,-3,0,9,
1659493944310063918,-3,0,-16,
1659493944311994402,-2,0,-1,
1659493944314039521,-2,0,-16,
1659493944316086463,-1,0,-11,
1659493944318153789,0,-37,-21,
1659493944320077636,-2,0,-6,
1659493944322033094,-2,0,-36,
