Created Due : Wed Aug 10 14:19:10 2022

Time,actual_pos,actual_vel,actual_tor
1660108752458240709,-2560,-70,-119,-2467,-64,26,159,0,-5,-3683,-96,-36,
1660108752460232450,-2569,-58,30,-2476,-56,-48,159,0,-5,-3696,-84,-72,
1660108752462244681,-2578,-81,-44,-2485,-70,26,159,0,-5,-3710,-67,39,
1660108752464187341,-2587,-67,-44,-2493,-50,-23,159,0,-17,-3723,-103,14,
1660108752466256691,-2595,-68,-20,-2502,-67,26,159,0,-5,-3736,-101,-23,
1660108752468334580,-2604,-41,-20,-2510,-56,-85,159,0,7,-3749,-102,-23,
1660108752470337804,-2613,-72,30,-2519,-74,1,159,0,7,-3762,-94,-60,
1660108752472596876,-2621,-48,-44,-2528,-60,-23,159,0,-5,-3775,-77,-36,
1660108752474362841,-2630,-62,6,-2538,-63,1,159,0,-5,-3789,-101,-10,
1660108752476236758,-2638,-62,-56,-2546,-67,-23,159,0,-17,-3802,-116,-10,
1660108752478292834,-2647,-68,6,-2555,-52,-61,159,0,-5,-3815,-98,-10,
1660108752480229533,-2656,-57,-44,-2564,-83,14,159,0,7,-3827,-101,-23,
1660108752482264713,-2664,-67,6,-2571,-51,-36,159,0,-5,-3840,-98,-60,
1660108752484261856,-2672,-73,6,-2580,-79,26,159,0,-5,-3853,-87,-10,
1660108752486229864,-2682,-57,-7,-2589,-45,-23,159,0,-5,-3866,-93,14,
1660108752488242819,-2690,-76,-20,-2598,-73,51,159,0,-17,-3879,-99,-10,
1660108752490190098,-2700,-54,-31,-2606,-55,-98,159,0,-5,-3892,-103,-36,
1660108752492229037,-2709,-69,6,-2616,-69,38,159,0,7,-3905,-103,-85,
1660108752494235313,-2717,-55,-106,-2624,-69,-48,159,0,-5,-3919,-88,1,
1660108752496206844,-2727,-70,-7,-2634,-63,-12,159,0,-17,-3932,-96,-10,
1660108752498193255,-2734,-44,-56,-2642,-79,-12,159,0,-5,-3945,-100,14,
1660108752500216993,-2744,-62,43,-2651,-53,-23,159,0,7,-3958,-99,1,
1660108752502220461,-2752,-69,-31,-2660,-69,26,159,0,-5,-3971,-96,-60,
1660108752504283073,-2762,-60,-7,-2669,-49,-23,159,0,7,-3985,-98,-72,
1660108752506270674,-2771,-72,30,-2677,-74,51,159,0,-17,-3998,-89,-10,
1660108752508320693,-2780,-40,-31,-2686,-50,-61,159,0,-5,-4012,-107,1,
1660108752510297957,-2789,-71,6,-2695,-67,14,159,0,-17,-4025,-106,1,
1660108752512241163,-2797,-58,-93,-2703,-65,-72,159,0,-5,-4039,-99,14,
1660108752514281257,-2806,-60,30,-2712,-70,14,159,0,-5,-4052,-101,-36,
