Created Due : Mon Aug  1 15:39:25 2022

Time,actual_pos,actual_vel,actual_tor
1659335972976202677,-4128,0,45,
1659335972977181117,-4128,0,-5,
1659335972978172323,-4127,0,24,
1659335972979169069,-4127,0,-5,
1659335972980170011,-4127,0,5,
1659335972981175307,-4128,0,-9,
1659335972982170466,-4128,0,-3,
1659335972983188896,-4128,0,-26,
1659335972984200903,-4127,37,0,
1659335972985206919,-4127,0,-12,
1659335972986171065,-4127,0,-3,
1659335972987172078,-4127,0,31,
1659335972988172251,-4127,0,14,
1659335972989190595,-4127,0,-19,
1659335972990182527,-4127,0,0,
1659335972991172948,-4127,0,-7,
1659335972992201978,-4127,0,24,
1659335972993166667,-4128,-37,28,
1659335972994177141,-4128,0,3,
1659335972995197645,-4128,0,7,
1659335972996154292,-4127,37,-24,
1659335972997163464,-4127,0,30,
1659335972998180276,-4127,0,7,
1659335972999181613,-4127,0,-7,
1659335973000175411,-4127,0,-33,
1659335973001149284,-4127,0,38,
1659335973002176943,-4127,0,-5,
1659335973003190159,-4128,-37,7,
1659335973004965817,-4128,0,-3,
1659335973005253698,-4128,0,-17,
1659335973006207455,-4127,37,-14,
1659335973007164281,-4127,0,-3,
1659335973008175578,-4127,0,24,
1659335973009173669,-4127,0,-7,
1659335973010180328,-4127,0,14,
1659335973011167341,-4127,0,-5,
1659335973012173825,-4128,0,3,
1659335973013171142,-4128,0,5,
1659335973014169138,-4127,0,-14,
1659335973015190738,-4126,0,-3,
1659335973016192552,-4126,0,-29,
1659335973017168401,-4126,0,-5,
1659335973018170206,-4127,-37,0,
1659335973019150086,-4127,0,16,
1659335973020152304,-4127,0,14,
1659335973021168947,-4127,0,-19,
1659335973022158020,-4128,0,-7,
1659335973023156705,-4128,0,3,
1659335973024151471,-4128,0,0,
1659335973025192419,-4127,37,45,
1659335973026172164,-4127,0,-17,
1659335973027183464,-4127,0,11,
1659335973028169072,-4128,-37,-5,
1659335973029206840,-4128,0,-19,
1659335973030195929,-4128,0,-21,
1659335973031176979,-4128,0,0,
1659335973032160013,-4128,0,16,
1659335973033185560,-4128,0,-19,
1659335973035080318,-4128,0,18,
1659335973035260499,-4128,0,0,
1659335973036163294,-4128,0,18,
1659335973037154786,-4129,0,0,
1659335973038170418,-4129,0,12,
1659335973039189565,-4129,0,9,
1659335973040162806,-4128,37,3,
1659335973041149926,-4128,0,-17,
1659335973042150953,-4128,0,-14,
1659335973043153312,-4128,0,14,
1659335973044153792,-4128,0,33,
1659335973045150354,-4128,0,12,
1659335973046150917,-4128,0,-26,
1659335973047147511,-4128,0,-26,
1659335973048174911,-4128,0,24,
1659335973049158887,-4129,-37,18,
1659335973050174518,-4129,0,-18,
1659335973051170166,-4129,0,-30,
1659335973052174667,-4129,0,-28,
1659335973053178555,-4129,0,12,
1659335973054176343,-4128,0,0,
1659335973055182129,-4128,0,45,
1659335973056177186,-4128,0,-7,
1659335973057171914,-4128,0,26,
