Created Due : Wed Aug  3 11:31:42 2022

Time,actual_pos,actual_vel,actual_tor
1659493905421318172,-5,0,0,
1659493905423298988,-5,0,0,
1659493905425210374,-5,0,0,
1659493905427163618,-5,0,0,
1659493905429270773,-5,0,0,
1659493905431262431,-5,0,0,
1659493905433165346,-5,0,0,
1659493905435252261,-5,0,0,
1659493905437223835,-5,0,0,
1659493905439220495,-5,0,0,
1659493905441201118,-5,0,0,
1659493905443243249,-5,0,0,
1659493905445190170,-5,0,0,
1659493905447168579,-5,0,0,
1659493905449179850,-5,0,0,
1659493905451145507,-5,0,0,
1659493905453170534,-5,0,0,
1659493905455214985,-5,0,4,
1659493905459200210,-4,0,39,
1659493905461161915,-3,0,-31,
1659493905463236698,-3,0,-6,
1659493905465263982,-3,0,34,
1659493905467269722,-3,37,19,
1659493905469235695,-2,0,-11,
1659493905471242677,-2,0,-41,
1659493905473184508,-3,0,24,
1659493905475204630,-3,0,24,
1659493905477206056,-2,0,-6,
1659493905479201937,-2,0,-11,
1659493905481166357,-4,0,39,
1659493905483179649,-3,0,-31,
1659493905485319161,-2,0,-16,
1659493905487357437,-2,0,4,
1659493905489343144,-2,0,-11,
1659493905491318067,-2,0,-21,
1659493905493330286,-2,0,4,
1659493905495315107,-2,0,-21,
1659493905497247913,-2,0,-16,
1659493905499267917,-3,0,9,
1659493905501199364,-2,0,-6,
1659493905503149655,-2,0,-21,
1659493905505154341,-2,0,4,
1659493905507145290,-2,37,-6,
1659493905509142155,-1,0,-21,
1659493905511140931,-2,0,-6,
1659493905513248949,-2,0,4,
1659493905515234874,-2,0,-6,
1659493905517258611,-2,0,34,
1659493905519230919,-3,0,-21,
1659493905521348878,-3,37,-11,
1659493905523313995,-1,0,-11,
1659493905525359251,-2,0,19,
1659493905527348586,-2,0,9,
1659493905529353613,-1,0,-21,
1659493905531283108,-1,-37,-56,
1659493905533289335,-2,0,-11,
1659493905535324318,-2,0,-11,
1659493905537263923,-2,0,-11,
1659493905539252013,-2,0,-16,
1659493905541173542,-3,0,19,
1659493905543273286,-3,0,4,
1659493905545161865,-3,0,-1,
1659493905547172084,-2,0,9,
1659493905549219327,-2,0,-6,
1659493905551333819,-3,0,29,
1659493905553270991,-1,0,-31,
1659493905555272118,-1,0,14,
1659493905557299989,-1,0,44,
1659493905559218432,-2,0,-6,
1659493905561268822,-2,0,34,
1659493905563345001,-1,0,-1,
1659493905565252510,-2,-37,14,
1659493905567353549,-3,0,-31,
1659493905569268636,-2,0,-16,
1659493905571273472,-2,0,-1,
1659493905573278714,-2,0,4,
1659493905575317744,-2,-37,-16,
1659493905577316796,-3,0,-6,
1659493905579309419,-2,37,-6,
1659493905581268562,-1,-37,-16,
1659493905583205182,-4,0,-16,
1659493905585256465,-3,0,-21,
1659493905587229939,-2,0,-21,
1659493905589314370,-2,0,9,
1659493905591281574,-2,0,34,
1659493905593186414,-2,0,-11,
1659493905595207760,-3,0,19,
1659493905597306556,-2,0,-21,
1659493905599257474,-2,0,-11,
1659493905601232399,-2,0,19,
1659493905603269065,-3,0,-6,
1659493905605283591,-3,0,-21,
1659493905607283710,-3,0,19,
1659493905609289183,-2,0,-6,
1659493905611272130,-2,0,-1,
1659493905613300656,-2,-37,-11,
1659493905615269037,-3,0,-26,
1659493905617284247,-2,37,14,
1659493905619205333,-2,0,-11,
1659493905621333852,-3,0,-11,
1659493905623201200,-3,0,-21,
1659493905625280160,-3,0,-11,
1659493905627211453,-3,0,-21,
1659493905629272100,-2,0,-11,
1659493905631351466,-2,-37,-26,
1659493905633312241,-3,0,-1,
1659493905635277160,-4,0,-1,
1659493905637223522,-3,0,-26,
1659493905639250297,-2,0,-11,
1659493905641175221,-4,0,-6,
1659493905643207354,-4,0,9,
1659493905645260344,-3,0,-21,
1659493905647326017,-3,0,-11,
1659493905649293846,-3,0,-16,
1659493905651307667,-3,0,-36,
1659493905653274251,-3,0,34,
1659493905655373275,-2,0,-26,
1659493905657382188,-3,0,-16,
1659493905659370624,-3,0,-26,
1659493905661320810,-3,0,-6,
1659493905663243730,-2,0,-31,
1659493905665266406,-2,0,-11,
1659493905667275295,-3,0,-1,
1659493905669304703,-3,37,-1,
1659493905671349425,-2,0,9,
1659493905673320812,-2,0,-6,
1659493905675225339,-2,0,34,
1659493905677323000,-2,-37,4,
1659493905679286734,-3,0,-1,
1659493905681283146,-2,0,-21,
1659493905683262103,-2,-37,19,
1659493905685329234,-3,0,-36,
1659493905687271073,-3,0,29,
1659493905689252345,-3,0,9,
1659493905691342518,-2,0,-1,
1659493905693286243,-2,-37,-46,
1659493905695288450,-3,0,-11,
1659493905697245822,-3,0,-1,
1659493905699307491,-2,0,-11,
1659493905701249050,-2,0,-26,
1659493905703349515,-2,0,34,
1659493905705255404,-2,0,9,
1659493905707272543,-2,0,-26,
1659493905709259039,-1,0,9,
1659493905711296019,-1,0,-6,
1659493905713275939,-1,-37,-21,
1659493905715269237,-2,0,-11,
1659493905717308433,-1,0,19,
1659493905719342040,-2,0,-11,
1659493905721387110,-2,0,24,
1659493905723276487,-2,0,4,
1659493905725250176,-1,0,-1,
1659493905727263814,-1,0,-6,
1659493905729388815,-2,0,4,
1659493905731278075,-2,0,-21,
1659493905733351558,-1,0,-21,
1659493905735268728,-1,0,-26,
1659493905737347328,-2,0,-11,
1659493905739374307,-2,0,9,
1659493905741370904,-3,0,24,
1659493905743329444,-3,0,-21,
1659493905745244391,-3,0,-11,
1659493905747266056,-3,0,4,
1659493905749329664,-3,0,-11,
1659493905751280021,-3,37,-6,
1659493905753375146,-2,-37,-6,
1659493905755317596,-3,0,-1,
1659493905757277298,-3,37,-11,
1659493905759376240,-1,0,9,
1659493905761310575,-1,0,-1,
1659493905764426041,-2,-37,49,
1659493905765171872,-3,0,34,
1659493905767860436,-3,0,-11,
1659493905769182723,-3,0,29,
1659493905771175729,-3,0,14,
1659493905773280593,-2,0,-11,
1659493905775256875,-3,0,-11,
1659493905777196549,-3,0,19,
1659493905779184468,-3,0,-11,
1659493905781268187,-3,0,-1,
1659493905783207839,-3,0,14,
1659493905785201356,-3,0,19,
1659493905787201669,-3,0,-26,
1659493905789193281,-3,0,4,
1659493905791167090,-3,0,14,
1659493905793188330,-3,0,24,
1659493905795183319,-3,0,4,
1659493905797178602,-3,0,-11,
1659493905799218776,-3,0,-11,
1659493905801151551,-3,0,-6,
1659493905803216358,-3,0,24,
1659493905805178448,-3,0,-16,
1659493905807198624,-3,37,-11,
1659493905809199859,-3,0,14,
1659493905811164880,-4,0,-21,
1659493905813161912,-4,0,-26,
1659493905815339249,-3,0,4,
1659493905817212624,-3,0,-6,
1659493905819205416,-4,0,9,
1659493905821177559,-4,0,-36,
1659493905823169858,-4,0,-36,
1659493905825155135,-4,37,4,
1659493905827202939,-2,0,-21,
1659493905829216000,-3,-37,-11,
1659493905831165660,-4,0,24,
1659493905833310983,-4,0,24,
1659493905835302260,-3,0,49,
1659493905837323191,-3,0,-11,
1659493905839307199,-4,0,29,
1659493905841290451,-3,0,-11,
1659493905843191123,-2,0,-1,
1659493905845182465,-2,0,14,
1659493905847185751,-2,0,19,
1659493905849262571,-3,0,14,
1659493905851202148,-3,37,-6,
1659493905853266689,-2,0,-11,
1659493905855211274,-2,0,9,
1659493905857252290,-2,0,-11,
1659493905859256571,-2,0,-36,
1659493905861326494,-3,0,29,
1659493905863263169,-3,0,-21,
1659493905865189106,-2,0,4,
1659493905867225283,-2,-37,34,
1659493905869312458,-3,0,4,
1659493905871323560,-2,0,9,
1659493905873286254,-1,0,-36,
1659493905875323821,-3,0,-1,
1659493905877220742,-3,0,-11,
1659493905879218340,-2,0,-61,
1659493905881262522,-2,0,-1,
1659493905883303938,-2,0,9,
1659493905885301331,-2,0,4,
1659493905887203548,-2,0,4,
1659493905889213668,-2,0,24,
1659493905891299366,-3,0,4,
1659493905893337221,-3,0,29,
1659493905895278596,-3,0,-1,
1659493905897216177,-2,0,14,
1659493905899172511,-2,0,-1,
1659493905901243836,-2,0,-21,
1659493905903255964,-2,0,-1,
1659493905905260674,-2,0,-21,
1659493905907302469,-2,0,24,
1659493905909261290,-2,0,9,
1659493905911221436,-1,0,-51,
1659493905913255294,-1,0,-31,
1659493905915239699,-1,0,-11,
1659493905917199108,-2,0,-1,
1659493905919205437,-2,0,14,
1659493905921292382,-1,0,-11,
1659493905923262043,-1,-37,-1,
1659493905925307621,-2,0,-6,
1659493905927217873,-2,0,4,
1659493905929258605,-2,0,-6,
1659493905931298230,-2,0,29,
1659493905933205963,-2,0,34,
1659493905935202225,-2,0,-16,
1659493905937309464,-3,0,-11,
1659493905939265288,-3,0,-16,
1659493905941196071,-3,0,-6,
1659493905943320969,-3,0,14,
1659493905945331685,-3,0,-56,
1659493905947201571,-4,0,-6,
1659493905949211282,-3,0,-31,
1659493905951273992,-3,0,14,
1659493905953186214,-2,0,-11,
1659493905955163944,-2,0,-21,
1659493905957197433,-4,0,14,
1659493905959182209,-4,0,-31,
1659493905961170989,-2,0,-21,
1659493905963284415,-2,0,-41,
1659493905965252225,-2,0,-31,
1659493905967317373,-3,0,-21,
1659493905969330363,-3,0,9,
1659493905971329311,-3,0,-1,
1659493905973320766,-3,0,-11,
1659493905975332622,-3,0,9,
1659493905977286416,-2,0,4,
1659493905979217189,-2,0,-6,
1659493905981221742,-3,0,-21,
1659493905983255870,-4,0,-11,
1659493905985218186,-2,0,-16,
1659493905987198551,-2,0,-6,
1659493905989280066,-2,0,-21,
1659493905991300126,-2,0,-1,
1659493905993289305,-3,0,14,
1659493905995250161,-2,0,-6,
1659493905997265720,-3,0,-1,
1659493905999292624,-3,0,4,
1659493906001188788,-3,0,4,
1659493906003275142,-2,0,24,
1659493906005192989,-2,0,24,
1659493906007306054,-3,0,-6,
1659493906009166093,-3,0,-21,
1659493906011252619,-3,0,-31,
1659493906013216541,-3,0,-16,
1659493906015211662,-2,0,9,
1659493906017144544,-2,0,4,
1659493906019214132,-3,0,49,
1659493906021243097,-3,0,9,
1659493906023277827,-4,0,-11,
1659493906025305275,-3,0,4,
1659493906027183039,-3,0,44,
1659493906029195395,-3,0,14,
1659493906031242289,-2,0,14,
1659493906033243857,-2,0,-1,
1659493906035191496,-2,0,-36,
1659493906037249856,-2,0,14,
1659493906039208486,-2,0,-16,
1659493906041208098,-3,0,4,
1659493906043184495,-3,0,39,
1659493906045200740,-3,0,-16,
1659493906047222658,-3,0,9,
1659493906049223844,-4,0,-1,
1659493906051215754,-3,0,-46,
1659493906053219358,-3,0,19,
1659493906055283613,-3,0,9,
1659493906057257572,-3,0,-6,
1659493906059223570,-2,37,-31,
1659493906061216715,-2,0,-16,
1659493906063190114,-3,0,-16,
1659493906065227258,-3,0,34,
1659493906067235341,-3,0,-26,
1659493906069180566,-3,0,-1,
1659493906071186285,-3,0,-11,
1659493906073180441,-2,0,-11,
1659493906075181369,-3,-37,-1,
1659493906077183238,-3,0,-16,
1659493906079170859,-4,0,-31,
1659493906081166251,-2,37,-31,
1659493906083166684,-2,0,14,
1659493906085219025,-2,0,-21,
1659493906087223095,-3,0,49,
1659493906089195078,-2,37,-6,
1659493906091164730,-2,0,-21,
1659493906093215051,-2,0,-36,
1659493906095226316,-3,0,-16,
1659493906097203538,-2,0,-1,
1659493906099206649,-2,0,-1,
1659493906101409895,-3,0,-1,
1659493906103251367,-3,0,-21,
1659493906105187336,-3,0,-16,
1659493906107183432,-3,0,-1,
1659493906109266326,-3,0,9,
1659493906111214926,-2,37,14,
1659493906113208257,-2,0,-21,
1659493906115257405,-2,0,19,
1659493906117155266,-3,0,-6,
1659493906119255527,-2,37,9,
1659493906121231915,-1,0,-26,
1659493906123172678,-2,0,-6,
1659493906125179152,-2,0,19,
1659493906127297419,-1,0,-26,
1659493906129287603,-2,-37,-11,
1659493906131273465,-3,0,24,
1659493906133190477,-2,37,-21,
1659493906135186251,-1,0,-16,
1659493906137265809,-3,-37,29,
1659493906139232384,-3,0,19,
1659493906141276472,-3,0,-11,
1659493906143226093,-3,0,4,
1659493906145314638,-4,0,34,
1659493906147257573,-3,0,14,
1659493906149259122,-3,0,-16,
1659493906151236080,-2,0,-21,
1659493906153224217,-2,0,-11,
1659493906155182055,-3,-37,-21,
1659493906157221460,-4,0,9,
1659493906159180938,-3,37,9,
