Created Due : Wed Aug  3 11:27:40 2022

Time,actual_pos,actual_vel,actual_tor
1659493661540378283,1,0,19,
1659493661542375575,1,0,29,
1659493661544365821,1,0,19,
1659493661546423419,2,0,-26,
1659493661548429609,2,0,14,
1659493661550465470,1,0,-16,
1659493661552437010,2,0,-36,
1659493661554426756,0,-37,24,
1659493661556421376,0,0,-11,
1659493661558421190,2,0,-26,
1659493661560470417,2,0,-1,
1659493661562460212,1,0,9,
1659493661564434389,1,37,-16,
1659493661566386441,2,0,-11,
1659493661568392815,1,0,14,
1659493661570350634,1,0,-6,
1659493661572346096,2,0,-1,
1659493661574363803,2,0,-41,
1659493661576343658,2,0,-26,
1659493661578381931,2,0,-1,
1659493661580363946,2,0,14,
1659493661582378013,2,0,-1,
1659493661584380564,1,0,24,
1659493661586360472,1,0,-21,
1659493661588420392,1,0,-26,
1659493661590350143,1,0,-21,
1659493661592346416,1,0,4,
1659493661594352296,2,0,-36,
1659493661596455877,2,0,-16,
1659493661598419031,1,-37,-16,
1659493661600368860,1,0,29,
1659493661602418913,2,0,9,
1659493661604417529,0,-37,-31,
1659493661606498891,1,37,-11,
1659493661608427357,1,0,19,
1659493661610423518,1,0,9,
1659493661612421359,1,0,-21,
1659493661614434409,1,0,-16,
1659493661616365772,1,0,-31,
1659493661618360624,1,0,19,
1659493661620350247,1,0,-11,
1659493661622347814,1,0,14,
1659493661624343735,2,37,19,
1659493661626344494,2,0,-6,
1659493661628358407,1,0,19,
1659493661630358843,1,0,-26,
1659493661632357088,1,0,-1,
1659493661634455475,1,0,-1,
1659493661636449752,1,0,-11,
1659493661638422851,2,37,-36,
1659493661640423809,2,0,-26,
1659493661642428508,2,0,-36,
1659493661644391628,1,0,-21,
1659493661646423863,2,0,-1,
1659493661648425462,2,0,4,
1659493661650420605,2,0,29,
1659493661652426969,0,0,24,
1659493661654426799,1,0,34,
1659493661656432947,1,0,-11,
1659493661658410666,1,0,-6,
1659493661660390629,1,0,-21,
1659493661662436866,2,37,-41,
1659493661664453849,2,0,29,
1659493661666357132,2,0,39,
1659493661668359867,2,0,19,
1659493661670379045,2,0,-11,
1659493661672422634,2,0,-31,
1659493661674358041,2,0,-36,
1659493661676385105,3,0,-11,
1659493661678390042,3,0,-11,
1659493661680354394,2,0,9,
1659493661682387695,2,0,4,
1659493661684442891,2,0,-11,
1659493661686387568,2,0,-11,
1659493661688457093,1,0,-11,
1659493661690412480,1,0,-1,
1659493661692422260,1,0,-31,
1659493661694433528,1,0,-1,
1659493661696441832,2,0,-31,
1659493661698427241,2,0,-21,
1659493661700421315,1,0,-1,
1659493661702435097,2,0,9,
1659493661704432789,3,0,4,
1659493661706431766,2,-37,-1,
1659493661708427771,2,0,-16,
1659493661710431375,3,37,-26,
1659493661712473890,2,-37,29,
1659493661714434257,1,0,19,
1659493661716432959,2,0,-36,
1659493661718432995,2,0,19,
1659493661720445014,2,0,-16,
1659493661722438772,2,0,-1,
1659493661724432411,2,0,-21,
1659493661726439936,2,0,19,
1659493661728432833,1,0,19,
1659493661730401792,2,0,-41,
1659493661732476730,2,0,9,
1659493661734366829,2,0,-11,
1659493661736357097,2,0,-6,
1659493661738356776,2,0,-16,
1659493661740371804,2,0,29,
1659493661742431589,2,0,-6,
1659493661744367748,2,0,-16,
1659493661746354417,2,0,19,
1659493661748385124,2,0,-1,
1659493661750405334,2,0,-36,
1659493661752425697,2,0,-11,
1659493661754467575,2,0,4,
1659493661756422422,1,0,49,
1659493661758455675,1,0,-1,
1659493661760461072,3,37,4,
1659493661762432347,2,-37,-11,
1659493661764439335,1,0,24,
1659493661766429667,2,0,14,
1659493661768423209,2,0,-26,
1659493661770426977,1,-37,-11,
1659493661772355007,1,0,-56,
1659493661774421889,2,37,-11,
1659493661776426750,2,0,4,
1659493661778425275,3,0,9,
1659493661780560158,2,0,14,
1659493661782469100,2,0,-6,
1659493661784456529,3,0,-16,
1659493661786438668,2,0,-36,
1659493661788429713,2,37,-16,
1659493661790437768,3,0,9,
1659493661792431353,2,0,-16,
1659493661794438014,2,0,-16,
1659493661796431911,2,0,-21,
1659493661798425269,2,0,-11,
1659493661800429417,3,0,-41,
1659493661802425585,3,0,-11,
1659493661804448281,3,0,29,
1659493661806390545,2,0,-11,
1659493661808422299,2,0,4,
1659493661810416056,2,0,29,
1659493661812424162,2,0,-16,
1659493661814443136,2,0,-11,
1659493661816424977,2,0,-21,
1659493661818444745,1,0,49,
1659493661820464061,2,0,-11,
1659493661822461849,2,0,19,
1659493661824457989,2,0,-26,
1659493661826437558,2,0,9,
1659493661828423310,1,0,-11,
1659493661830426771,2,0,-21,
1659493661832454366,2,0,-1,
1659493661834451043,1,0,4,
